label,category,text
1,bank,"عزيزي العميل، تم تجميد بطاقتك من بنك فلسطين بسبب نشاط مشبوه. حدّث بياناتك فوراً عبر الرابط: http://bop-update.tk/secure"
1,bank,"بنك فلسطين: إنذار أمني! تم اكتشاف تسجيل دخول من جهاز جديد. اضغط لتأكيد هويتك خلال 24 ساعة وإلا سيتم إغلاق حسابك: bit.ly/bop-verify"
1,bank,"تنبيه من Bank of Palestine: حسابك معلّق مؤقتاً. أكمل التحقق الآن: https://bankofpalestine-secure.xyz"
1,bank,"عميل بنك فلسطين الكريم، انتهت صلاحية بطاقتك. أعد تفعيلها عبر: http://bop.online-renew.click"
1,bank,"بنك القاهرة عمان: تم خصم 1500 شيكل من حسابك. إذا لم تكن أنت، اضغط هنا للإلغاء فوراً: cab-cancel.top"
1,bank,"Cairo Amman Bank: عملية تحويل غير مصرّح بها بقيمة 2300 ₪. قم بتأكيد رفض العملية: http://caironet.help"
1,bank,"البنك العربي: تم رفض عمليتك الأخيرة. حدّث بيانات بطاقتك الائتمانية: arabbank-id.tk"
1,bank,"تنبيه: محاولة سحب من بطاقتك في تركيا. اتصل فوراً على 00908123456 أو ادخل: secure-arab.click"
1,bank,"بنك الأردن: تجاوزت حدّ السحب اليومي. ادخل بياناتك لإعادة تفعيل البطاقة: jordanbank-help.gq"
1,bank,"العميل الكريم، نحتاج تأكيد أرقام بطاقتك الستة عشر للاستمرار في خدمة الإنترنت البنكي. الرابط: bnk-verify.ml"
1,bank,"إشعار من بنك الإسكان: حسابك سيُجمّد خلال ساعة ما لم تحدّث بياناتك على هذا الرابط: hbtf-update.xyz"
1,bank,"تنبيه أمن: تم تسجيل دخول لحسابك من اليمن. لتأمين حسابك أدخل OTP في: securemybank.click"
1,bank,"بنك فلسطين: مكافأة الولاء 500 ₪. لاستلامها، أكمل التحقق: bit.ly/bop-prize"
1,bank,"عميلنا العزيز، رقم تحويلك: 449213. للموافقة أدخل الرقم السري في: bopapprove.gq"
1,bank,"البنك الإسلامي العربي: تنبيه أمني، حسابك سيُغلق خلال 12 ساعة. اضغط: aaib.up.click"
1,paltel,"بالتل: اشتراكك في خدمة الإنترنت سينتهي خلال 24 ساعة. للتجديد المجاني اضغط: paltel-renew.tk"
1,paltel,"عزيزي مشترك جوّال: ربحت رصيدًا مجانيًا 200 شيكل. للحصول عليه: jawwal-cash.top"
1,paltel,"PalTel: لديك فاتورة متأخرة 350 ₪. سدّد الآن لتجنب فصل الخط: paltel-pay.click"
1,paltel,"جوال: تم اختيارك ضمن الفائزين الأسبوعيين. أكمل بياناتك لاستلام الجائزة: jawwal-prize.xyz"
